0 0 0 0 0    3    3
0 0 0 0 1    6    9
0 0 0 1 0    2   11
0 0 0 1 1   11   22
0 0 1 0 0    1   23
0 0 1 0 1    1   24
0 0 1 1 0    3   27
0 0 1 1 1    4   31
0 1 0 0 0    1   32
0 1 0 0 1    8   40
0 1 0 1 0    0   40
0 1 0 1 1   16   56
0 1 1 0 0    0   56
0 1 1 0 1    3   59
0 1 1 1 0    2   61
0 1 1 1 1   15   76
1 0 0 0 0   10   86
1 0 0 0 1   29  115
1 0 0 1 0   14  129
1 0 0 1 1   81  210
1 0 1 0 0    3  213
1 0 1 0 1   28  241
1 0 1 1 0   15  256
1 0 1 1 1   80  336
1 1 0 0 0   16  352
1 1 0 0 1   56  408
1 1 0 1 0   21  429
1 1 0 1 1  173  602
1 1 1 0 0   11  613
1 1 1 0 1   61  674
1 1 1 1 0   28  702
1 1 1 1 1  298 1000

