  3 28  0 28 -10
  5 21  2 21  -9
  2 32  2 32  -9
  7 35  1 35  -8
  7 35  2 35  -8
  2 38  0 38  -8
  5 30  1 30  -7
  3 43  1 43  -7
  5 49  1 49  -7
 11 53  2 53  -7
  6 31  4 31  -6
  6 35  4 35  -6
 11 46  2 46  -6
  4 53  1 53  -6
  4 61  7 61  -6
  2 40  4 40  -5
  8 29  3 29  -5
  8 44  5 44  -5
  6 52  3 52  -5
  5 55  2 55  -5
 15 61  4 61  -5
  4 31  1 31  -4
  9 48  4 48  -4
  9 44  5 44  -4
  4 42  2 42  -4
 12 53  7 53  -4
  8 56  5 56  -4
  8 71  8 71  -4
  6 43  2 43  -3
  8 43  3 43  -3
 12 43  5 43  -3
  4 40  4 40  -3
  7 44  1 44  -3
 16 70  6 70  -3
 12 75  5 75  -3
  9 71 11 71  -3
  4 37  5 37  -2
  7 31  2 31  -2
  8 42  5 42  -2
 11 46  8 46  -2
  5 47  5 47  -2
 12 55  6 55  -2
  8 63  6 63  -2
 17 91 10 91  -2
  9 43  7 43  -2
  3 39  5 39  -1
  2 35  5 35  -1                
  7 32  2 32  -1
  6 53  8 53  -1
  5 49  1 49  -1
 11 75 13 75  -1
 14 64  9 64  -1
 13 69 11 69  -1
  8 64  9 64  -1
  6 49  4 49  -1
  4 29  4 29   0
  8 40  8 40   0
  4 27  6 27   0
  8 48  8 48   0
  7 43  6 43   0
 15 61  8 61   0
 15 77 14 77   0
  9 55  6 55   0
  9 60  5 60   0
  5 46  5 46   0
  6 28  2 28   1
  3 33  4 33   1
  9 32  2 32   1
 12 46  9 46   1
 14 57  5 57   1
 16 56  6 56   1
 17 78  7 78   1
  8 58  5 58   1
  8 52 10 52   1
  9 31  3 31   1
  5 28  2 28   2
  9 46  1 46   2
 11 42  7 42   2
  6 45  9 45   2
 14 63 13 63   2
 21 71  9 71   2
 16 69 11 69   2
  6 43  4 43   2
  9 50  8 50   2
  8 31  2 31   3
  9 34  3 34   3
  8 54  7 54   3
  4 46  4 46   3
 11 58  7 58   3
 11 62  5 62   3
  6 52  6 52   3
  9 41  6 41   3
  4 34  5 34   4 
  4 52  6 52   4                 
  9 63  9 63   4
  9 59  7 59   4
 10 88  7 88   4
 14 62  7 62   4
  6 47  4 47   4
  3 53  2 53   5
  4 57  3 57   5
  6 74  4 74   5
 10 68 10 68   5
  4 61  3 61   5
  3 45  4 45   5
  3 45  2 45   6
 10 62 10 62   6
  4 73  5 73   6
 10 53  4 53   6
  5 39  5 39   6
  4 45  4 45   7
  3 51  6 51   7
 13 55  5 55   7
  1 41  3 41   7
  7 53  2 53   8
  5 51  2 51   8
  7 42  4 42   8
  6 46  6 46   9
  3 54  4 54   9
  7 32  1 32  10 
